Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Optimizer,Val Loss,Val Accuracy
1,32,0,1,8,0,1,8,0,0,5,2,0,32,1,1,3,2,0,0.18792025102302432,0.9444000124931335
1,64,1,1,5,2,1,64,1,1,8,2,1,16,0,0,4,1,3,0.07370363340601326,0.9793000221252441
1,32,0,1,2,1,1,8,1,1,8,1,0,16,0,1,9,1,3,1.1543999858856202,0.6424999833106995
1,64,0,1,3,1,0,32,0,0,3,1,0,64,0,0,0,1,2,0.3943307058572769,0.8935999870300293
1,64,1,1,2,2,1,8,1,0,0,0,0,16,0,1,2,2,2,0.05942546775471419,0.9817000031471252
1,64,1,1,10,1,0,64,1,0,6,1,1,32,0,1,5,2,0,0.07542821864932775,0.9764000177383423
1,32,1,0,0,2,1,32,1,0,8,2,1,16,0,0,3,1,3,0.04463577394708991,0.9866999983787537
1,64,0,1,5,1,1,16,0,0,0,0,0,32,1,0,10,1,2,0.3314633682489395,0.9093999862670898
1,16,1,0,5,2,0,32,0,0,4,2,1,8,0,1,7,2,0,0.06254464065977372,0.9785000085830688
1,64,1,1,0,0,1,8,0,0,8,2,0,16,0,1,4,2,1,0.09769281028546394,0.9707000255584717
1,64,0,1,6,2,0,32,0,0,2,1,0,32,0,0,3,0,0,0.5604214960545302,0.8561999797821045
1,32,0,1,9,1,0,16,0,1,5,0,0,16,0,0,5,0,2,0.5265270172595978,0.8931999802589417
1,8,1,0,4,2,1,8,0,1,0,1,1,32,1,1,2,2,3,0.1831669030460529,0.9438999891281128
1,8,1,1,5,2,1,8,1,0,5,1,0,64,1,1,2,2,0,0.08888525873422623,0.9751999974250793
1,8,0,1,7,0,1,16,1,1,3,2,1,16,1,0,3,2,3,0.06519610586613417,0.9786999821662903
1,8,0,0,8,0,0,64,0,0,6,0,0,8,0,1,4,1,0,0.08819756469354033,0.9733999967575073
1,16,0,1,2,0,1,64,1,1,10,1,1,8,1,0,2,2,2,0.30806088361740114,0.9437999725341797
1,16,0,0,6,2,0,32,1,1,4,2,1,32,0,0,0,2,0,0.048684489287342876,0.9855999946594238
1,16,1,0,4,1,0,64,0,1,4,0,1,16,0,1,5,1,0,0.06816233513057232,0.9824000000953674
1,32,1,1,3,1,0,32,1,0,1,2,0,8,1,0,7,0,2,0.29415597606897353,0.9182999730110168
1,64,0,1,5,2,1,64,1,1,8,2,1,16,0,1,4,1,3,0.07856647003032267,0.9764000177383423
1,32,0,1,8,0,1,8,0,1,3,2,1,16,1,0,3,2,3,0.08772954669669271,0.9726999998092651
1,64,1,1,3,1,0,32,0,0,3,1,0,64,0,0,0,1,2,0.3354239752113819,0.8977000117301941
1,64,1,1,5,2,1,64,1,1,2,1,0,32,0,0,3,0,0,0.09387465405224647,0.9745000004768372
1,32,1,1,3,1,0,32,1,1,8,2,1,16,0,0,4,1,3,0.06720941748917103,0.9819999933242798
1,8,1,1,5,2,1,8,1,0,5,1,0,64,1,1,5,2,0,0.08384313238412142,0.9764999747276306
1,32,1,1,3,1,0,32,1,0,1,2,0,8,1,0,7,0,2,0.29211694185733794,0.9212999939918518
1,64,1,1,2,2,1,8,1,0,0,0,0,16,0,1,2,2,2,0.06398218455184251,0.9805999994277954
1,16,1,0,4,1,0,64,0,1,4,0,1,16,0,1,5,1,0,0.06688464799672365,0.9830999970436096
1,64,0,1,3,1,0,32,0,0,3,1,0,64,0,0,10,1,2,0.4062785259246826,0.8891000151634216
1,64,1,1,10,1,0,64,1,0,6,1,1,32,0,1,5,2,0,0.06918642095997929,0.9794999957084656
1,64,0,1,5,1,1,16,1,0,9,1,1,8,1,0,2,2,2,0.6033912172794342,0.83160001039505
1,64,1,1,0,0,1,8,0,0,8,2,0,16,0,1,4,2,2,2.3010635921478273,0.11349999904632568
1,64,1,1,10,1,0,64,1,0,6,1,1,32,0,1,5,2,0,0.08325388710740954,0.9751999974250793
1,16,1,0,5,2,0,32,0,0,4,2,0,64,0,0,0,1,2,0.0742783358167857,0.9779999852180481
1,64,1,1,10,1,0,64,1,0,6,1,1,32,0,1,5,2,0,0.07998208358995616,0.9746999740600586
1,32,1,1,7,0,1,16,1,1,3,2,1,16,1,0,3,2,3,0.0478841230538208,0.9835000038146973
1,64,1,1,2,2,1,8,1,0,0,1,1,32,0,1,5,2,0,0.039283553715469315,0.9868999719619751
1,32,1,1,3,1,0,32,0,0,2,1,0,32,0,0,3,0,0,0.15889074687734248,0.9527000188827515
1,32,0,1,8,0,1,8,0,0,5,2,0,32,1,1,3,2,0,2.3012028717041018,0.11349999904632568
1,16,1,0,4,1,0,64,1,1,8,2,1,16,0,1,4,1,3,0.06235791715160012,0.9821000099182129
1,32,1,1,7,0,1,16,1,1,3,2,1,16,1,0,3,2,3,0.051756061071297155,0.9829999804496765
1,64,0,1,5,1,1,16,1,0,9,1,1,16,1,0,3,2,3,0.435110569524765,0.8546000123023987
1,64,1,1,10,1,0,64,1,0,6,1,1,32,0,1,5,2,0,0.09715020859017968,0.9714999794960022
1,64,1,1,3,1,0,32,0,0,3,1,0,64,0,0,0,1,2,0.26130392456650736,0.929099977016449
1,64,1,1,10,1,0,64,1,0,6,1,1,32,0,1,5,2,1,0.11482642336338758,0.9646999835968018
1,64,1,1,2,2,1,8,1,0,0,1,1,32,0,1,5,2,0,0.05542432597326115,0.9825000166893005
1,64,0,1,5,1,1,16,1,0,4,1,1,16,1,0,2,2,2,1.95366697845459,0.5002999901771545
1,16,1,0,4,1,0,64,0,1,4,0,1,16,0,1,4,1,3,0.06777408977150917,0.9811000227928162
1,8,1,0,4,1,0,64,0,0,4,2,0,64,0,0,0,1,2,0.10680164211243391,0.9708999991416931
1,64,1,1,10,1,0,64,1,0,6,1,1,32,0,1,5,2,0,0.11385272563323379,0.9624000191688538
1,64,0,1,5,2,1,64,1,1,2,1,1,32,0,1,5,2,0,0.05821720043402165,0.9814000129699707
1,64,0,1,8,1,0,64,1,0,6,1,1,32,0,1,5,2,0,0.18241553525924684,0.949999988079071
1,64,1,1,2,2,1,8,1,0,0,1,1,32,0,1,5,2,0,0.05466895873146132,0.9822999835014343
1,64,0,1,3,1,0,32,0,0,3,1,0,64,0,1,2,2,2,0.38637707312107084,0.8968999981880188
