Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Optimizer,Val Loss,Val Accuracy
1,32,1,1,9,0,1,64,0,0,1,1,0,16,0,0,0,0,0,0.05689689879892394,0.9833999872207642
1,8,0,0,4,0,0,32,1,1,7,1,1,8,0,0,6,2,0,0.06177767235226929,0.9807000160217285
1,8,0,1,4,0,1,32,0,0,0,1,1,64,1,1,10,1,1,0.13094732922166585,0.9595999717712402
1,64,1,0,10,0,1,64,1,0,2,1,1,8,0,0,10,1,2,0.15789468583464622,0.9714000225067139
1,64,1,1,8,1,1,32,0,0,3,2,1,16,0,1,7,0,2,0.11363864945843816,0.9671000242233276
1,8,1,0,0,2,1,16,1,0,6,2,1,8,1,0,0,0,1,0.04655458168187761,0.9851999878883362
1,8,0,1,0,1,1,32,0,1,4,2,0,16,1,0,5,1,3,0.1319965094342828,0.9599000215530396
1,16,0,0,3,0,1,8,1,1,2,2,0,64,0,1,9,2,2,0.11102251696512103,0.9678000211715698
1,8,1,0,4,1,1,16,1,1,2,0,0,64,1,0,1,2,0,0.19523255290687083,0.9327999949455261
1,64,0,1,1,1,0,64,1,1,10,2,1,32,1,0,9,0,0,0.537748572319746,0.8456000089645386
1,8,1,1,5,1,1,32,1,1,2,1,1,8,1,1,10,0,2,0.23334335215091706,0.9467999935150146
1,64,0,0,1,1,1,8,1,1,9,0,0,32,1,0,10,0,3,0.06515818351786584,0.979200005531311
1,64,1,1,0,1,0,8,0,0,5,2,0,32,0,1,6,0,0,0.23174373618215321,0.9375
1,64,1,1,9,2,1,16,0,0,1,1,0,16,0,1,5,1,0,0.06887068664804101,0.979200005531311
1,8,0,1,8,2,1,32,1,1,7,2,0,64,1,0,2,0,2,0.3759738698244095,0.8809000253677368
1,16,0,1,9,0,0,64,0,0,2,1,0,64,0,1,7,2,2,0.33319047540426255,0.8998000025749207
1,64,1,0,6,1,1,8,0,1,9,2,0,32,0,1,2,0,3,0.0574599792859517,0.9811999797821045
1,16,1,1,9,2,1,32,1,1,8,2,1,8,0,1,6,2,1,0.06816105551142246,0.9799000024795532
1,8,0,0,6,0,1,16,0,0,1,0,1,8,0,0,7,2,3,0.05731781012248248,0.9821000099182129
1,8,1,0,0,2,0,64,1,1,10,1,0,64,0,0,3,0,0,0.08637415968528948,0.9745000004768372
1,8,1,0,0,2,1,16,0,0,6,2,1,8,0,0,6,2,0,0.05439878647418227,0.984000027179718
1,8,0,0,0,2,1,8,1,0,6,2,1,8,1,0,0,0,1,0.05646181302415207,0.9821000099182129
1,8,0,1,8,2,1,32,1,1,7,2,0,16,1,0,5,1,3,0.8892583302602172,0.8382999897003174
1,16,1,1,9,1,1,8,0,1,9,0,0,32,1,0,10,0,3,0.15346885929107665,0.9599999785423279
1,8,1,0,7,2,1,16,1,0,6,2,1,8,1,0,5,2,2,0.06082010741299018,0.9810000061988831
1,64,1,0,10,0,1,64,1,0,2,2,0,16,1,0,5,1,3,0.036749296576459894,0.9876999855041504
1,64,1,1,9,2,1,16,0,0,1,1,0,16,0,1,5,1,0,0.07315581396259367,0.9764000177383423
1,16,1,1,9,2,1,32,0,0,0,1,1,64,1,1,10,1,1,0.3530545629143715,0.8827000260353088
1,64,1,1,9,2,1,32,0,0,1,1,0,8,0,0,7,2,3,0.05005564267449081,0.9842000007629395
1,8,0,1,8,2,1,8,1,1,7,2,1,8,1,0,0,0,1,0.08962779693678022,0.9732000231742859
1,64,1,1,5,1,1,32,0,1,2,1,1,8,1,1,6,0,2,0.15305904273986817,0.9639000296592712
1,8,0,1,4,0,1,32,0,0,0,1,1,64,1,1,10,1,1,0.7963533268928528,0.7883999943733215
1,8,1,0,0,1,1,16,1,0,4,2,0,16,1,0,5,1,3,0.04286128713416401,0.9861999750137329
