Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Optimizer,Val Loss,Val Accuracy
1,8,1,0,4,0,0,8,0,0,5,2,1,32,1,0,10,1,3,0.055373504613339904,0.9853000044822693
1,16,1,0,3,0,0,16,0,0,1,1,0,32,1,0,5,1,2,0.06919844089774414,0.9794999957084656
1,32,1,1,5,2,0,32,1,1,7,2,1,64,1,1,6,0,0,0.6608951008148016,0.9345999956130981
1,64,0,0,7,1,1,64,0,1,3,2,0,8,0,1,4,0,1,0.1984495557758957,0.9417999982833862
1,16,1,1,4,1,0,32,0,1,6,0,0,32,1,1,5,1,1,0.1468899845764041,0.9574000239372253
1,16,1,0,4,1,0,32,1,0,1,0,0,8,1,1,2,1,0,0.07972077542031183,0.9746000170707703
1,64,0,1,4,0,0,8,0,0,4,1,0,64,0,0,1,1,1,0.3578709519803524,0.8898000121116638
1,64,0,0,8,2,1,32,0,1,3,2,0,64,1,1,7,2,0,0.07579706675279886,0.975600004196167
1,8,1,1,4,1,1,64,1,0,0,1,1,32,0,0,10,0,3,0.048819217285141346,0.9861000180244446
1,16,0,1,2,0,1,16,0,0,8,0,1,8,1,0,3,0,3,0.07115296261049807,0.9781000018119812
1,8,0,0,4,1,1,8,1,1,5,0,1,64,0,1,3,0,3,0.05949706042855978,0.9794999957084656
1,16,1,1,5,1,0,8,0,0,0,1,1,8,0,0,0,0,1,0.07859394162669778,0.9769999980926514
1,16,0,1,1,1,0,64,1,0,7,2,1,8,1,1,4,1,2,0.43687415623664855,0.8960999846458435
1,64,0,0,7,2,0,16,1,0,1,0,0,16,0,0,8,2,3,0.062297149812290446,0.9803000092506409
1,16,0,0,5,0,1,8,0,0,4,0,0,8,0,1,2,2,0,0.05640401466358453,0.9819999933242798
1,64,1,1,8,2,1,8,1,0,9,1,0,32,0,1,5,1,2,0.15985636932253838,0.9639999866485596
1,8,0,1,7,0,0,64,0,0,0,1,0,16,0,1,10,0,3,0.3907207332909107,0.8833000063896179
1,64,1,0,4,0,1,8,1,0,8,1,0,8,1,1,5,0,0,0.05279710731133819,0.9847000241279602
