Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Optimizer,Val Loss,Val Accuracy
1,64,1,1,6,0,0,8,0,1,3,1,1,16,0,0,1,1,2,0.27675997309088707,0.921999990940094
1,8,1,0,5,0,1,32,1,0,7,1,0,32,0,1,6,2,1,0.05472422895170748,0.9847000241279602
1,64,1,1,2,2,1,8,1,1,8,0,1,64,0,1,4,0,3,0.0706598685696721,0.9783999919891357
1,8,1,1,5,1,1,32,0,0,8,2,1,32,0,1,8,0,2,0.1382865444943309,0.9580000042915344
1,32,1,1,7,0,0,16,1,1,3,2,1,64,1,0,0,0,2,0.17264397158028297,0.9610000252723694
1,16,1,1,8,1,1,8,0,1,8,0,1,64,0,0,3,2,1,0.16985717109441756,0.9781000018119812
1,64,0,0,7,1,0,64,1,0,4,2,0,8,0,0,2,0,2,0.08064305436015129,0.9814000129699707
1,16,1,1,7,0,0,8,0,0,1,0,1,8,0,1,5,1,3,0.13490347663760185,0.9648000001907349
1,8,1,0,6,1,1,8,1,1,4,2,1,32,0,0,3,1,3,0.051797716699168085,0.9853000044822693
1,8,1,0,4,0,0,16,1,1,1,0,0,8,1,1,8,0,3,0.0744617894592695,0.9761000275611877
1,64,0,0,7,0,0,32,1,1,3,0,0,32,1,0,6,0,3,0.060882538854610174,0.9790999889373779
1,8,0,1,9,2,1,8,0,0,6,1,0,32,0,1,2,0,3,0.27549261150360105,0.939300000667572
1,16,0,0,5,0,0,8,0,0,6,2,1,64,1,1,9,0,0,0.34815120769637925,0.9646000266075134
1,64,0,0,8,2,0,64,0,0,0,2,0,16,0,0,5,1,3,0.06708399034701287,0.9783999919891357
1,16,1,0,8,2,1,16,1,0,3,1,0,8,0,1,4,1,2,0.0628438049338758,0.9812999963760376
1,8,1,1,1,2,0,16,0,1,4,0,0,8,0,0,7,2,2,0.27468875529766085,0.9200999736785889
1,8,0,1,5,2,1,64,1,1,3,2,1,8,1,0,10,0,0,0.06492281047129073,0.9789999723434448
1,8,0,0,5,2,1,16,1,0,7,0,1,16,0,1,0,0,0,0.056044388549309224,0.9818999767303467
1,8,0,1,9,1,1,8,1,0,5,0,0,16,0,0,3,2,3,0.2721171762228012,0.9302999973297119
1,8,1,1,10,1,0,32,0,0,0,0,1,8,1,1,6,1,3,0.23049171283245087,0.9581999778747559
1,64,0,0,8,1,0,64,0,0,0,2,0,16,0,0,5,1,3,0.06783493517413736,0.982200026512146
1,64,0,1,9,2,0,8,0,0,6,2,0,8,0,1,9,0,1,0.49910579716563225,0.8410999774932861
1,64,1,0,8,2,1,32,1,0,2,1,0,8,0,1,4,1,2,0.04696357214022428,0.9853000044822693
1,8,1,0,8,2,1,32,1,1,5,0,0,64,0,1,7,0,3,0.19100967887905626,0.9616000056266785
1,32,1,1,3,0,0,16,1,1,3,2,0,64,1,0,0,0,2,0.2714490751609206,0.9211999773979187
1,8,0,1,1,0,1,64,0,0,2,2,1,8,1,0,2,0,0,0.10149918581882958,0.9689000248908997
1,64,1,0,8,2,1,32,1,0,2,1,0,8,0,1,4,1,2,0.05399667545519769,0.9818999767303467
1,32,1,1,3,0,0,16,1,1,3,2,0,64,1,0,0,0,2,0.3011424097329378,0.9106000065803528
1,64,0,1,9,2,0,8,0,0,6,2,0,8,0,1,9,0,1,0.546544825232029,0.8306999802589417
1,8,1,0,8,2,1,32,1,1,5,0,0,64,0,1,7,0,3,0.1131609098091812,0.9768999814987183
1,16,0,1,5,1,1,8,0,0,0,2,0,32,0,0,3,2,0,0.21743926528692245,0.9463000297546387
1,8,1,0,8,2,1,32,1,1,5,0,0,64,0,1,7,0,3,0.11059205307537213,0.9769999980926514
1,64,0,1,9,2,0,8,0,0,6,2,0,8,0,1,9,0,1,0.37600402607321737,0.8968999981880188
1,16,1,1,7,2,0,8,0,0,1,0,0,8,1,1,5,1,0,0.17695925319436936,0.9509999752044678
1,64,0,1,9,2,0,8,0,0,6,2,0,8,0,1,9,0,1,0.5244217935740948,0.8482000231742859
1,16,0,1,5,1,1,8,0,0,0,2,0,32,0,0,3,2,0,0.13769889467954635,0.9631999731063843
1,16,0,1,5,1,1,8,0,0,0,2,0,32,0,0,3,2,0,0.16543753945827483,0.9546999931335449
1,64,0,1,9,2,0,8,0,0,6,2,0,8,0,1,9,0,1,0.40502042501568797,0.8797000050544739
1,64,0,0,7,0,0,32,1,1,3,0,0,32,1,0,6,0,3,0.062370680010039356,0.9815000295639038
1,64,1,1,2,0,0,8,0,1,3,1,0,64,0,0,1,1,2,0.713073118776083,0.8359000086784363
1,8,1,1,1,2,0,32,1,0,2,1,0,8,0,1,4,1,2,0.28825448076426985,0.9164000153541565
1,64,0,1,9,2,0,8,0,0,6,2,0,8,0,1,9,0,1,0.487531380712986,0.8593999743461609
1,64,1,0,8,2,0,32,1,1,5,0,0,64,0,1,7,0,3,0.06639476277683862,0.9782999753952026
1,64,0,1,9,2,0,8,0,0,6,2,0,8,0,1,9,0,1,0.325441513723135,0.9079999923706055
1,64,1,0,6,0,0,16,1,1,3,2,0,64,1,0,0,0,0,0.17280006697848438,0.9502000212669373
1,64,1,0,6,0,0,16,1,1,3,2,0,64,1,0,0,0,0,0.08735456359868403,0.9753999710083008
1,64,1,0,6,0,0,16,1,1,3,2,0,64,1,0,0,0,0,0.08645132726659067,0.9745000004768372
1,8,1,1,1,2,0,32,1,0,2,1,0,8,0,1,4,1,2,0.2728194941610098,0.9196000099182129
1,64,0,1,1,0,1,64,0,1,6,2,1,8,1,1,5,0,0,0.08069493016223424,0.9754999876022339
1,8,0,1,5,1,1,64,0,0,0,2,0,32,0,0,3,2,2,0.20453324397206307,0.9524000287055969
1,64,1,0,8,2,0,32,1,1,5,0,0,64,0,1,7,0,3,0.06629521191217937,0.979200005531311
1,64,1,0,6,0,0,16,1,1,3,2,0,64,1,0,0,0,0,0.10919293879861944,0.9682000279426575
1,64,0,1,1,0,1,64,0,1,6,2,1,8,1,1,5,0,0,0.11587694785692729,0.9642000198364258
1,8,1,1,9,2,0,8,0,0,1,0,0,8,1,1,5,1,3,0.20522638928964734,0.9381999969482422
1,16,0,0,8,2,0,64,0,0,0,2,0,16,0,0,5,1,0,0.08040882980823517,0.9750999808311462
1,64,1,1,8,0,0,8,0,1,3,1,0,64,0,0,1,1,2,0.8411664592325687,0.8191999793052673
1,8,1,1,1,2,0,32,1,0,2,1,0,8,0,1,4,1,2,0.2832059698969126,0.9180999994277954
1,64,1,0,5,2,0,32,0,1,3,0,0,32,1,0,6,0,3,0.06724502350920811,0.9782000184059143
1,64,1,0,5,2,0,32,0,1,3,0,0,32,1,0,6,0,3,0.06366180262882262,0.9797999858856201
1,16,0,0,8,2,0,64,0,0,0,2,0,16,0,0,5,1,0,0.0670044991354458,0.9782000184059143
1,64,0,1,6,1,0,8,0,0,6,2,0,8,0,1,9,0,1,0.48262656216621397,0.8476999998092651
1,16,1,0,10,1,0,32,1,1,5,0,0,64,0,1,7,0,3,0.08207774024009705,0.9758999943733215
1,16,1,0,10,1,0,32,1,1,5,0,0,64,0,1,7,0,3,0.0777410917185247,0.9797999858856201
1,64,0,1,6,1,0,8,0,0,6,2,0,8,0,1,9,0,1,0.3626212376475334,0.8932999968528748
1,16,1,0,10,1,0,32,1,1,5,0,0,64,0,1,7,0,3,0.07897123626619577,0.9794999957084656
1,16,0,1,8,2,0,64,0,0,0,2,0,16,0,0,5,1,0,0.3020361240923405,0.9128999710083008
1,32,1,0,0,1,0,32,0,1,3,0,0,32,1,0,6,0,1,0.07102554159397259,0.9782999753952026
1,16,1,0,10,1,0,32,1,1,5,0,0,64,0,1,7,0,3,0.07466997646689415,0.9807999730110168
1,16,1,0,10,1,0,32,1,1,5,0,0,64,0,1,7,0,3,0.08413616203144193,0.9763000011444092
1,16,0,1,8,2,0,64,0,0,0,2,0,16,0,0,5,1,0,0.5531549927592277,0.8317000269889832
