Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Optimizer,Val Loss,Val Accuracy
1,16,0,1,0,2,1,8,0,0,3,0,0,8,0,1,1,1,1,0.13133363137226553,0.9624000191688538
1,8,0,0,7,0,0,64,0,0,3,0,0,64,1,1,4,0,3,0.09149033102802932,0.9724000096321106
1,8,0,1,3,0,0,16,0,0,1,2,0,64,0,1,7,0,1,0.2562030252620578,0.9230999946594238
1,32,0,0,9,0,0,64,0,1,10,2,0,8,0,0,8,1,1,0.08263600339246914,0.9768000245094299
1,8,1,1,8,1,1,16,0,1,5,2,0,16,1,1,2,1,0,0.11285438437163829,0.9685999751091003
1,16,1,1,10,0,1,64,0,0,2,2,0,64,0,1,3,2,2,0.08395325336232781,0.9739999771118164
1,16,0,1,8,0,1,16,1,1,1,0,0,32,0,0,5,2,2,0.3469533660292625,0.8932999968528748
1,8,1,1,9,2,1,64,1,1,1,0,1,16,0,0,10,2,3,0.07540858617643825,0.9779999852180481
1,8,0,0,9,1,0,32,1,1,6,0,0,32,1,1,5,0,0,0.12719402281343936,0.9674999713897705
1,16,0,1,2,1,0,16,0,1,0,2,1,8,0,0,3,1,0,0.20143995169997214,0.9470999836921692
1,16,1,1,1,2,0,64,1,1,1,1,0,16,1,1,4,0,1,0.20556002248353325,0.9502000212669373
1,8,0,1,0,0,0,32,0,0,6,1,1,32,0,1,7,2,1,0.2574889779061079,0.920799970626831
1,64,0,1,10,2,0,8,1,1,4,1,1,32,1,0,3,2,3,0.06296722441203892,0.9797999858856201
1,16,1,1,7,2,0,16,1,0,8,2,1,64,0,1,2,1,2,0.2972325632750988,0.9147999882698059
1,64,1,1,6,1,1,8,1,0,2,0,0,8,1,1,7,1,1,0.48604057726860045,0.8410999774932861
1,32,0,0,10,2,0,32,1,1,9,1,0,64,0,1,8,2,0,0.06471560128629207,0.9807000160217285
1,8,1,0,0,0,1,8,0,1,8,2,1,64,0,0,10,0,3,0.050855348392482846,0.9833999872207642
1,16,0,0,0,1,1,32,0,0,6,1,0,16,0,1,4,1,1,0.04686167919728905,0.9850999712944031
1,16,0,0,3,0,0,16,0,0,1,1,0,32,1,0,5,1,0,0.06669699324369431,0.9793999791145325
1,64,1,0,0,1,0,64,1,1,3,1,1,8,0,1,3,1,3,0.07633139268755913,0.9779999852180481
1,32,0,0,3,0,0,16,0,0,1,1,0,32,1,0,5,1,0,0.06520712886983529,0.9786999821662903
1,16,0,0,3,0,0,64,0,1,10,2,0,8,0,0,8,1,1,0.07390322628878057,0.9769999980926514
1,32,0,0,9,0,0,64,0,1,5,2,0,16,1,1,2,1,0,0.06630284899435937,0.9790999889373779
1,8,0,0,9,1,0,16,0,0,1,1,0,32,1,0,5,1,0,0.1248367329776287,0.9757999777793884
1,16,1,1,10,0,1,64,1,1,2,2,0,8,0,1,1,1,1,3.095988529896736,0.753600001335144
1,32,0,0,9,0,0,64,0,1,10,2,0,64,0,1,3,2,2,0.08490356286652387,0.9743000268936157
1,16,0,1,8,0,1,16,1,1,1,0,0,32,0,0,5,2,2,0.3197911485791206,0.902999997138977
1,8,0,0,9,1,0,32,0,0,6,1,0,16,0,1,4,1,1,0.11048827128112317,0.9721999764442444
1,16,0,0,3,1,0,16,0,1,0,2,1,8,0,1,3,1,0,0.12817075525820254,0.9670000076293945
1,16,0,1,0,2,1,8,0,0,3,0,0,8,0,1,1,1,1,0.24169750361442566,0.9376000165939331
1,16,0,0,3,0,0,16,0,0,6,1,0,16,0,1,4,1,1,0.07867767815738916,0.9753000140190125
1,8,0,0,7,0,0,64,0,0,3,0,0,8,0,1,1,1,1,0.10743972056694329,0.9681000113487244
1,16,0,0,3,0,1,32,0,0,6,1,0,16,0,1,4,1,1,0.04719299951903522,0.9855999946594238
1,32,0,0,9,0,0,64,0,1,10,2,0,8,1,1,2,1,0,0.06492132527576759,0.9793999791145325
1,16,0,0,0,1,1,32,0,0,6,1,0,16,0,1,4,1,1,0.04625217175204307,0.9848999977111816
1,64,0,1,10,2,0,8,1,1,4,1,1,32,1,0,3,1,0,0.17012432161569596,0.9614999890327454
1,8,1,0,0,0,1,8,0,1,8,2,1,32,1,0,5,1,0,0.06392993854656816,0.9829000234603882
1,8,1,1,8,1,0,16,0,1,5,2,0,16,1,1,2,1,0,0.23972452579736708,0.941100001335144
1,16,0,0,0,1,1,32,0,0,6,2,0,16,0,0,8,1,1,0.043991134190466255,0.9860000014305115
1,16,0,1,0,2,1,8,0,0,3,0,0,8,0,1,1,1,1,0.155561557289958,0.9552000164985657
1,32,0,0,9,0,0,64,0,1,10,2,0,64,0,1,3,2,2,0.0769827773641795,0.9779000282287598
1,32,0,0,3,0,1,8,0,0,6,1,0,16,0,1,4,1,1,0.0630026887582615,0.9824000000953674
1,8,1,0,0,0,1,8,0,1,0,2,1,8,0,1,3,1,0,0.09169511555358767,0.9728000164031982
1,64,0,1,10,2,0,8,1,1,4,1,1,16,0,1,4,1,1,0.23892977023124695,0.9333000183105469
1,16,0,0,3,0,0,16,0,0,1,1,0,32,1,0,5,1,0,0.06905547946300357,0.9787999987602234
1,8,0,0,9,0,0,16,0,0,1,1,0,32,1,0,5,1,0,0.09345296435896307,0.9724000096321106
1,16,0,0,0,1,1,32,0,0,6,2,0,16,0,0,8,1,0,0.04742097091083415,0.9843000173568726
1,8,0,0,9,1,1,32,0,0,6,1,0,16,0,1,4,1,1,0.08057331504821777,0.9836999773979187
1,8,0,0,9,1,0,16,0,0,1,1,0,32,1,0,5,1,0,0.10595092184245586,0.9764000177383423
1,16,0,1,8,0,1,8,1,1,1,1,0,32,1,0,5,1,0,0.24596565957665442,0.9280999898910522
1,32,0,0,9,0,0,64,0,1,10,2,0,64,0,1,3,2,2,0.08070199514068663,0.9757999777793884
1,8,1,0,0,0,1,8,0,1,8,2,1,32,1,1,2,1,0,0.06985965523822234,0.9776999950408936
1,32,0,0,9,0,0,64,0,1,5,2,0,16,1,0,8,1,1,0.08077860557287932,0.9775999784469604
1,16,0,0,3,0,0,64,0,1,10,1,0,32,1,0,5,1,0,0.07243762978259474,0.9779000282287598
1,32,0,0,9,0,0,64,0,0,6,1,0,16,0,1,4,1,1,0.08150288290036842,0.9757000207901001
1,8,0,0,9,1,0,32,0,0,6,1,0,8,0,1,1,1,1,0.12690161527991295,0.9678000211715698
1,16,0,0,3,1,0,64,0,1,10,2,0,64,0,1,3,2,2,0.11782721981555223,0.9679999947547913
1,8,1,0,0,2,0,8,1,1,4,1,1,32,1,0,3,1,0,0.04697056632582098,0.9851999878883362
1,8,0,1,8,0,1,16,1,1,1,0,0,32,0,0,5,2,2,0.3651800221800804,0.8906999826431274
1,32,0,0,3,2,0,16,0,0,1,1,0,32,1,0,5,1,0,0.06592075492506846,0.9787999987602234
1,32,1,0,3,2,0,64,0,1,10,2,0,64,0,1,3,2,2,0.07084749441957101,0.978600025177002
1,32,0,0,3,0,1,8,0,0,1,1,0,32,1,0,5,1,0,0.0513742584515363,0.9840999841690063
1,8,1,0,0,0,0,16,0,0,1,1,0,32,1,0,5,1,0,0.1504119894053787,0.9537000060081482
1,64,0,1,10,2,1,8,0,0,6,1,0,16,0,1,4,1,1,2.3011865745544435,0.11349999904632568
1,32,0,0,3,0,1,8,0,0,6,1,0,16,0,1,4,1,3,0.06104052557200194,0.9829999804496765
1,8,0,0,3,1,0,32,0,0,6,1,0,16,0,1,4,1,1,0.10594782011136412,0.9692999720573425
1,8,0,0,0,0,1,8,0,1,8,2,1,32,1,1,2,2,0,0.16599190262431773,0.9699000120162964
1,8,1,0,0,2,0,8,1,1,4,1,1,64,0,1,3,2,2,0.17284880988001824,0.9498000144958496
1,8,1,0,0,0,0,8,0,1,0,2,1,8,0,1,3,1,0,0.08552116008102893,0.974399983882904
1,16,0,0,3,1,0,64,0,1,10,2,0,64,0,0,5,1,0,0.08280746294185519,0.9761999845504761
1,8,1,1,0,0,1,8,0,1,8,2,1,8,0,1,3,1,0,0.15033449238836766,0.9599999785423279
1,32,0,0,3,0,0,16,0,0,1,1,0,32,1,0,5,1,0,0.06595153694693,0.979200005531311
1,8,0,0,9,1,0,16,0,0,6,1,0,16,0,1,4,1,1,0.1016751769810915,0.9726999998092651
1,32,0,0,9,0,0,64,0,0,6,1,0,32,1,0,5,1,0,0.06759945117128081,0.9783999919891357
1,32,0,0,9,0,0,64,0,1,10,2,0,64,0,1,3,2,0,0.06593542972048745,0.9786999821662903
1,8,0,0,9,1,0,32,0,0,6,1,0,16,1,0,5,1,0,0.12824489206671716,0.9724000096321106
1,8,0,0,9,1,0,16,0,0,6,1,0,16,0,1,4,1,1,0.10500273990482092,0.972100019454956
1,16,0,0,3,1,0,64,0,1,10,1,0,16,0,1,4,1,1,0.07551855326779187,0.9761999845504761
1,8,0,0,9,1,1,32,0,0,6,1,0,16,0,0,8,1,0,0.08997300608158111,0.986299991607666
1,32,0,0,9,0,0,64,0,1,10,2,0,64,0,1,3,2,2,0.07695887974314392,0.977400004863739
1,32,0,0,3,0,1,8,0,0,1,1,0,32,1,0,5,1,0,0.057293259440548715,0.9803000092506409
1,8,1,0,0,0,0,8,0,1,0,2,1,8,0,1,3,1,0,0.07707906488850713,0.9767000079154968
1,32,1,0,3,2,0,64,0,1,1,1,0,32,1,0,5,1,0,0.13799887508265674,0.9589999914169312
1,8,1,0,0,0,0,8,0,1,0,2,1,8,0,1,7,1,0,0.08042380359619856,0.9800000190734863
1,32,0,0,3,1,0,64,0,1,10,2,0,64,0,0,5,1,0,0.06422178263776004,0.9797999858856201
1,32,0,0,9,0,0,64,0,1,10,2,0,64,0,1,4,1,1,0.07416407790705562,0.9771999716758728
1,32,0,0,9,0,1,8,0,1,8,2,1,32,1,1,2,2,0,0.2166481475485175,0.9631999731063843
1,16,0,0,3,1,0,64,0,1,10,1,0,16,0,1,4,1,0,0.07615220372639596,0.9769999980926514
