Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Optimizer,Val Loss,Val Accuracy
1,32,0,0,7,0,0,64,1,0,8,0,0,8,1,0,3,0,2,0.07806538798362017,0.9765999913215637
1,64,1,0,8,2,0,64,1,1,6,0,0,8,0,0,1,2,0,0.09958096335623413,0.970300018787384
1,64,0,0,6,0,0,8,1,1,7,2,0,64,0,0,6,0,3,0.06088571289856918,0.9804999828338623
1,64,1,1,10,2,0,32,0,1,0,0,1,8,1,1,5,1,3,0.13961266621351243,0.9638000130653381
1,16,1,0,5,2,1,16,1,0,6,1,1,8,0,1,3,1,0,0.0629419053286314,0.9835000038146973
1,32,0,1,4,1,0,16,1,1,7,0,1,64,1,1,5,1,3,0.13248502501547338,0.9560999870300293
1,64,0,0,2,0,1,16,0,0,5,0,0,64,0,1,0,0,0,0.0562845657293452,0.9832000136375427
1,16,0,1,4,0,1,16,0,1,6,0,1,32,0,0,2,1,1,0.0673124387672171,0.9796000123023987
1,8,0,1,1,2,0,8,1,0,1,2,0,32,1,1,8,1,3,0.20443173493742942,0.9395999908447266
1,8,1,1,4,1,1,32,1,0,1,0,1,32,0,1,6,1,0,0.07681245996505022,0.982200026512146
1,32,0,0,6,1,1,8,0,1,7,1,0,16,0,1,1,0,0,0.13532402669787408,0.9726999998092651
1,8,1,0,8,1,0,16,0,1,2,0,1,16,0,1,5,1,1,0.07852578851059079,0.9761999845504761
1,16,1,0,7,2,1,64,1,0,1,2,0,8,0,0,10,1,2,0.0723992913047783,0.9796000123023987
1,32,0,1,2,1,1,16,1,0,10,0,1,8,0,0,5,0,3,0.227158954256773,0.9473999738693237
1,64,0,1,1,1,1,16,0,0,9,0,1,16,1,1,1,1,1,0.4045029223203659,0.8725000023841858
1,64,0,1,4,2,0,16,1,1,0,1,1,16,1,0,0,1,2,0.1602263001665473,0.954800009727478
1,32,0,0,6,0,0,16,1,0,6,1,0,32,1,1,9,2,0,0.06120637699496001,0.9790999889373779
1,64,0,0,1,0,1,64,1,0,2,1,0,32,1,0,4,0,0,0.07946604385501706,0.9761000275611877
1,16,0,1,0,0,0,16,1,1,6,1,1,16,1,1,8,2,2,0.3063640199303627,0.9085999727249146
1,64,1,1,10,0,0,16,0,0,4,1,0,32,1,1,7,2,3,1.3764482182465494,0.8547999858856201
1,32,0,0,6,0,0,8,1,1,7,2,0,64,0,0,6,0,3,0.06724881579345092,0.9783999919891357
1,64,1,1,10,2,0,16,1,1,7,0,1,64,1,1,5,1,3,0.27341211684383454,0.9258000254631042
1,64,0,0,6,0,0,8,1,1,7,2,0,64,0,0,6,0,0,0.0698408479445614,0.9783999919891357
1,64,0,0,2,0,1,16,0,0,5,0,0,64,0,1,2,1,1,0.0456468682824634,0.984499990940094
1,32,0,0,2,0,1,16,0,0,5,0,0,64,0,1,0,0,0,0.04763315890335944,0.9847999811172485
1,16,0,1,4,1,1,16,0,1,6,0,1,32,0,0,2,1,1,0.07246582144200801,0.9786999821662903
1,64,1,0,8,2,0,64,1,1,10,0,0,8,0,0,5,0,3,0.06419236159631983,0.9794999957084656
1,16,0,1,4,0,0,16,0,1,6,0,1,32,0,0,2,1,1,0.0891444657370448,0.9746999740600586
1,64,1,1,10,0,0,32,0,1,0,0,1,8,1,1,5,1,3,0.14028253735303878,0.9602000117301941
1,64,1,0,1,0,1,64,1,0,2,1,0,32,1,0,4,0,0,0.037958175369957464,0.987500011920929
1,32,0,0,7,0,0,64,1,0,8,0,0,8,1,0,3,0,3,0.06566547871818766,0.9796000123023987
1,8,1,0,8,1,0,16,0,1,2,0,1,16,0,1,5,1,1,0.07387180183641613,0.9787999987602234
1,8,1,0,8,1,0,16,0,1,2,0,1,16,0,1,5,1,1,0.0760198783006519,0.9779000282287598
1,64,1,0,8,2,0,16,0,0,5,0,0,64,0,1,0,0,0,0.1258842598031275,0.9641000032424927
1,8,1,1,4,1,1,32,1,0,1,1,0,16,0,1,1,0,0,0.26608851040601733,0.9168000221252441
1,64,0,0,6,0,1,16,0,1,6,0,1,32,0,0,2,1,2,0.0800045156635344,0.9775000214576721
1,8,1,0,10,2,0,32,0,1,0,0,1,8,1,1,5,1,3,0.0917578796543181,0.9740999937057495
1,64,0,1,1,2,0,8,1,0,1,2,0,32,1,1,8,1,3,0.5091651731729507,0.8379999995231628
1,64,1,0,8,2,0,64,1,0,2,1,0,32,1,0,4,0,2,0.07406109627882251,0.9767000079154968
1,32,0,0,7,0,0,64,1,0,8,0,0,8,1,0,3,0,2,0.07629821725413204,0.977400004863739
1,32,0,0,7,2,0,64,1,0,8,0,0,8,0,0,2,1,2,0.07419044235870242,0.9789000153541565
1,64,1,0,1,0,1,64,1,0,5,1,0,32,1,0,4,0,0,0.06612232187613845,0.9810000061988831
1,16,0,1,4,0,0,16,0,0,5,0,0,64,0,1,0,0,0,0.30238194240629673,0.9156000018119812
1,32,0,0,2,0,1,16,0,0,5,0,0,64,0,1,0,0,1,0.047634239016193895,0.9842000007629395
1,64,1,0,8,2,0,16,0,0,5,0,0,64,0,0,5,0,3,0.06787737354957499,0.9781000018119812
1,64,1,1,10,2,0,16,1,1,7,0,1,64,1,1,5,1,1,0.1862692084950395,0.9544000029563904
1,16,0,1,4,1,1,16,0,1,6,0,1,16,0,1,4,1,1,0.1636980581253767,0.9571999907493591
1,32,0,1,10,2,0,16,1,1,7,0,1,64,1,1,5,1,3,0.5994686849027873,0.8567000031471252
1,64,0,0,6,0,0,8,1,1,7,2,0,64,0,0,6,0,0,0.06823695675320923,0.9778000116348267
1,16,0,1,4,1,1,16,0,1,6,0,0,64,0,1,2,1,1,0.1314067021679133,0.9593999981880188
1,64,0,0,2,0,1,16,1,0,8,0,0,8,1,0,3,0,2,0.053601106483279724,0.9832000136375427
1,16,0,0,2,0,1,16,0,0,5,0,0,64,0,1,0,0,0,0.0511819385050796,0.9836999773979187
1,64,1,1,10,0,0,16,1,1,8,0,0,8,1,0,3,0,2,0.646708546319604,0.8501999974250793
1,32,0,0,8,2,0,64,1,0,2,1,0,32,1,0,4,0,2,0.07922915112115443,0.9767000079154968
1,8,1,0,10,2,1,16,0,1,5,0,0,64,0,1,0,0,0,0.07582612550407648,0.9771999716758728
1,32,0,0,6,0,0,8,1,1,7,2,0,64,0,0,6,0,3,0.07308072679894977,0.9768999814987183
1,8,1,0,8,2,0,16,0,0,5,0,0,64,0,1,0,0,0,0.5692200301289558,0.7944999933242798
1,64,1,0,1,0,1,64,1,0,2,1,0,32,1,0,2,1,1,0.05250441843565786,0.9829999804496765
1,16,0,1,4,1,1,16,0,1,6,0,1,8,1,1,5,1,2,0.43801837899684903,0.9053000211715698
