Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Optimizer,Val Loss,Val Accuracy
1,8,0,0,10,0,0,64,1,1,1,1,0,16,0,1,4,0,0,0.08355330219119787,0.9750999808311462
1,32,0,0,5,0,0,32,1,1,6,1,1,16,1,0,4,1,1,0.043814901490602645,0.986299991607666
1,64,1,0,10,0,1,16,0,1,7,0,1,32,0,0,0,1,3,0.041526262798206884,0.9861999750137329
1,8,1,1,5,0,0,16,0,0,7,1,1,16,1,0,0,0,0,0.06844758195402101,0.9800000190734863
1,16,1,1,5,0,0,32,0,1,1,0,0,16,1,1,8,2,0,0.1738787215400953,0.9564999938011169
1,16,1,1,10,2,0,16,1,1,1,0,1,32,1,1,2,1,3,0.19262467200011016,0.9419000148773193
1,8,1,0,10,1,1,32,0,1,8,0,0,64,0,0,2,2,1,0.1192041823323816,0.9642000198364258
1,16,1,0,2,0,1,8,1,0,9,1,1,64,1,0,4,2,3,0.05182548588626087,0.9858999848365784
1,16,0,1,8,0,1,64,1,0,4,0,1,32,0,1,9,1,0,0.05526152080707252,0.984499990940094
1,64,1,1,5,2,0,8,1,1,0,1,0,16,0,1,9,2,0,0.48406161269843606,0.9430000185966492
1,64,1,1,4,1,1,32,0,1,7,1,0,16,1,0,8,1,1,0.062335425252094866,0.9807999730110168
1,32,1,0,9,2,0,16,0,0,3,2,1,16,0,0,0,0,2,0.05123538382332772,0.983299970626831
1,64,0,1,10,1,0,32,1,1,1,2,0,32,0,0,10,0,3,0.4857775488376617,0.8628000020980835
1,64,1,0,9,1,1,32,0,1,5,1,0,32,0,1,9,1,3,0.04521204513348639,0.98580002784729
1,64,0,0,5,1,0,64,1,0,4,2,0,64,1,1,6,2,1,0.06390327452141792,0.98089998960495
1,64,1,1,1,2,0,64,1,0,8,2,1,64,0,0,10,2,0,0.05905638782698661,0.9815000295639038
1,32,0,1,8,0,1,64,1,1,7,1,0,32,0,1,0,0,3,0.22629185509458183,0.9351999759674072
1,64,1,0,6,0,1,32,1,1,8,0,1,64,1,1,10,2,1,0.237587450429842,0.9787999987602234
1,16,0,0,2,0,1,64,1,1,6,1,0,64,1,1,1,0,0,0.11927416234683251,0.9731000065803528
1,16,1,1,6,1,1,64,1,0,8,2,1,64,0,1,7,1,3,0.12633953603804113,0.9725000262260437
1,64,0,0,10,0,0,64,1,1,1,1,0,16,0,1,4,0,0,0.0637792040290311,0.9799000024795532
1,16,0,0,2,0,1,64,1,1,6,1,0,64,1,1,1,0,0,0.20360512449536472,0.9484999775886536
1,8,1,0,10,1,1,32,0,1,8,0,0,64,0,0,2,2,1,0.10658955421699211,0.9678999781608582
1,64,1,0,6,0,1,32,1,1,8,0,1,64,1,1,10,2,1,0.4263789212657724,0.9656999707221985
1,16,1,1,5,1,0,32,0,1,1,0,1,32,0,1,9,1,0,0.10518786929547787,0.9785000085830688
1,16,1,0,2,0,1,8,1,0,9,1,1,32,0,0,0,1,3,0.05145512503311038,0.9871000051498413
1,16,0,1,8,0,0,64,1,0,4,0,1,32,0,1,9,2,0,0.14173013652414085,0.9574000239372253
1,8,1,0,9,1,1,32,0,1,5,1,1,64,0,0,10,2,0,0.06322280725389719,0.9854999780654907
1,8,1,0,0,1,1,32,0,1,7,0,1,32,0,0,0,1,3,0.03588447671411559,0.9879000186920166
1,16,1,1,2,1,1,64,0,0,3,2,1,16,0,0,0,0,2,0.06707041882015764,0.9786999821662903
1,16,1,0,2,0,1,8,1,0,9,1,1,64,1,0,4,0,3,0.04255504465140402,0.9868999719619751
1,16,0,0,9,2,0,16,0,0,3,2,1,16,0,0,0,0,2,0.05385257885660976,0.9837999939918518
1,16,1,1,5,0,0,32,0,1,1,1,0,64,1,1,1,0,0,0.19520577342975884,0.9472000002861023
1,32,1,0,9,2,0,16,0,0,3,2,1,16,0,0,0,0,2,0.06714704558048397,0.9779000282287598
1,8,1,0,10,0,0,64,1,1,1,1,0,16,0,1,4,0,0,0.08434512622999027,0.9731000065803528
1,64,1,1,4,1,1,32,1,1,0,1,0,16,0,1,9,2,0,0.08809464900679886,0.9728000164031982
1,16,0,1,8,0,1,64,1,1,7,1,0,32,0,1,0,0,3,1.2494125781536103,0.6607000231742859
1,32,0,1,8,0,1,64,1,1,7,1,0,32,0,0,2,2,1,0.2879244195215404,0.9222000241279602
1,8,1,1,5,0,0,16,0,0,7,1,1,16,1,0,0,0,0,0.05958133326880634,0.9815000295639038
1,8,1,0,10,0,0,64,1,1,1,1,0,16,0,1,4,0,0,0.07828235759492963,0.9760000109672546
1,16,1,1,5,0,0,32,0,1,1,1,0,16,0,1,4,0,1,0.35955707283690574,0.9133999943733215
1,32,1,0,9,2,0,16,0,0,1,1,0,16,0,1,4,0,0,0.13155271111764014,0.9556000232696533
1,16,0,0,2,0,0,64,1,1,1,1,0,16,0,1,4,0,0,0.07444935609605163,0.9768000245094299
1,16,1,0,2,0,1,8,1,0,9,0,1,64,1,1,10,2,1,0.6467021376037765,0.9397000074386597
1,16,0,0,2,0,1,64,1,1,6,1,0,64,1,1,1,0,0,0.13260080824036663,0.9707000255584717
1,16,0,0,9,0,0,16,0,0,3,2,1,16,0,0,6,0,2,0.055087483267486095,0.9829999804496765
1,32,0,1,8,0,1,64,1,1,1,1,0,32,0,0,2,2,0,0.3165396156627685,0.9150000214576721
1,8,0,0,10,0,0,64,1,1,1,1,0,16,0,1,4,0,0,0.08214075649008155,0.973800003528595
1,8,0,0,10,0,0,64,1,1,7,1,0,32,0,0,2,2,2,0.19150911551117897,0.9455000162124634
1,8,1,0,2,0,1,8,1,0,9,1,1,64,1,0,4,0,1,0.04982540907170623,0.9850999712944031
1,32,0,1,8,0,1,64,1,1,0,1,0,32,0,0,2,2,1,0.5962238221853972,0.8399999737739563
1,32,0,1,8,1,1,64,1,1,7,1,0,32,0,0,2,0,3,0.24119212091565131,0.9251000285148621
1,32,0,0,9,2,0,16,0,0,7,1,1,16,1,0,0,0,0,0.06437674100287259,0.9800000190734863
1,16,0,1,8,0,0,64,1,0,4,0,1,32,0,1,9,2,0,0.17773609654605388,0.9492999911308289
1,16,1,1,10,1,1,32,0,1,8,0,0,64,0,0,2,2,1,0.2297186484962702,0.9232000112533569
1,8,1,0,0,1,1,32,0,1,4,0,1,16,1,0,0,0,0,0.03968028508457355,0.9869999885559082
1,64,1,1,10,0,0,64,1,1,1,1,0,16,0,1,4,0,0,0.39563350635522937,0.9474999904632568
1,16,1,1,2,0,1,8,1,0,9,1,1,64,1,0,0,0,2,0.08143897305727005,0.9776999950408936
