Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Optimizer,Val Loss,Val Accuracy
1,8,1,1,5,0,1,8,0,1,2,1,1,32,1,1,5,2,2,0.18395545710623265,0.9465000033378601
1,32,1,1,0,1,1,8,1,1,8,0,1,16,0,0,1,0,3,0.12007974061071873,0.9670000076293945
1,8,0,0,5,0,1,8,0,0,7,1,1,8,1,1,8,1,3,0.15355989095568656,0.9714999794960022
1,64,0,0,3,2,1,32,1,0,3,0,0,16,0,0,9,1,3,0.04945838415418984,0.9857000112533569
1,8,0,0,5,1,1,16,0,0,8,2,1,8,0,0,7,1,0,0.09328286983966827,0.9801999926567078
1,8,0,1,9,1,0,32,0,0,3,0,1,16,0,0,3,1,0,0.2090669765472412,0.9652000069618225
1,8,1,0,4,1,1,16,0,0,10,2,1,8,0,0,3,0,1,0.054293187098950146,0.9836000204086304
1,64,1,0,5,2,0,16,1,0,10,0,0,64,0,0,7,1,2,0.07668144605802373,0.9761000275611877
1,8,0,0,2,0,0,16,0,0,1,1,0,32,0,0,5,0,0,0.08008955668583512,0.9771999716758728
1,8,1,0,9,2,0,8,0,0,6,2,1,16,0,1,10,2,0,0.06608738026591018,0.9793000221252441
1,64,0,1,9,1,1,8,0,1,4,1,0,16,1,1,2,2,0,0.1595087379515171,0.9639000296592712
1,64,0,1,5,1,1,8,1,1,0,2,0,8,0,0,8,2,0,5.259415063476562,0.2831999957561493
1,32,1,0,2,1,0,8,1,1,2,1,0,16,0,0,10,1,0,0.06795219777338207,0.978600025177002
1,8,1,0,8,0,1,8,0,1,7,1,0,64,1,0,2,0,2,0.2742357079744339,0.9373000264167786
1,32,1,1,1,0,1,16,0,1,5,0,0,16,0,0,1,2,2,0.20371900436878204,0.9419000148773193
1,16,0,0,4,1,1,8,0,1,2,2,1,8,0,0,10,0,2,0.12251437023878098,0.9638000130653381
1,8,0,0,1,2,0,16,1,0,5,1,1,32,1,1,10,1,0,0.08386359913507477,0.9732000231742859
1,16,0,0,2,1,0,32,0,0,3,1,1,64,0,0,5,1,3,0.0420874394102022,0.9879000186920166
1,64,0,1,6,0,0,16,0,0,0,2,0,64,0,1,5,1,0,0.413018301577121,0.8996000289916992
1,64,1,1,4,0,0,32,0,1,7,0,1,64,0,0,3,0,1,0.07242630596961826,0.9782000184059143
1,8,0,1,1,2,0,16,1,0,5,1,1,32,1,1,5,1,3,0.2428998222902417,0.9297000169754028
1,8,0,0,5,0,1,8,0,0,7,1,1,8,1,1,8,1,3,0.12213523676991463,0.9750999808311462
1,8,0,0,2,0,0,16,0,0,1,1,0,32,0,0,5,0,0,0.0698599810063839,0.9783999919891357
1,8,0,0,1,2,0,16,1,0,5,1,1,32,1,1,10,1,0,0.07063978782249615,0.9785000085830688
1,16,0,0,4,0,0,8,0,1,2,1,1,32,1,1,10,2,2,0.09884274093676358,0.9688000082969666
1,8,1,0,4,1,1,16,0,0,3,0,1,16,0,0,3,1,0,0.04904361968562007,0.986299991607666
1,16,1,0,1,2,0,16,1,0,5,1,1,32,1,1,10,1,0,0.17632350117787718,0.9423999786376953
1,64,0,0,3,2,1,32,1,0,3,0,0,16,0,0,9,2,0,0.6207818446159363,0.8205000162124634
1,8,1,0,8,0,1,8,0,1,8,2,1,8,0,0,7,1,0,0.09035577095746994,0.9763000011444092
1,64,0,0,2,0,1,8,0,1,7,1,0,64,1,0,2,0,2,0.24801299843788147,0.9484999775886536
1,64,0,0,4,1,1,8,0,1,2,2,1,8,0,0,2,0,2,0.07599062972702086,0.9771999716758728
1,8,1,1,0,0,1,8,0,1,2,1,1,64,1,1,5,2,3,0.08257952178987907,0.977400004863739
1,8,0,0,5,1,1,16,0,0,8,2,1,8,0,0,10,1,0,0.10212931124567985,0.983299970626831
1,8,0,0,2,0,0,16,0,0,1,1,0,32,0,0,5,0,0,0.08734584033079446,0.9717000126838684
1,16,0,0,8,1,1,8,0,1,2,2,1,8,0,0,10,0,2,0.11508636096566915,0.9660999774932861
1,8,0,0,2,0,0,16,0,0,1,1,0,32,0,0,2,2,0,0.09196366216316819,0.9714999794960022
1,64,1,0,5,2,0,16,1,0,7,1,0,64,1,0,2,0,2,0.0743000279718195,0.9767000079154968
1,64,1,1,0,1,1,8,1,1,8,0,1,16,0,0,1,0,3,0.09259970491528512,0.9725000262260437
1,64,1,0,8,0,1,8,0,1,7,1,0,64,1,0,2,0,2,0.1282134223639965,0.9760000109672546
1,32,1,1,5,0,1,8,0,1,2,1,1,32,1,1,5,2,2,0.10887370103523135,0.9674999713897705
1,8,0,0,1,2,0,16,1,0,5,1,1,32,1,1,5,2,2,0.13682614600919188,0.9577000141143799
1,8,0,0,2,0,0,16,0,0,1,1,0,32,0,0,2,0,2,0.16944466692209242,0.9516000151634216
1,8,0,0,2,0,0,16,0,1,8,2,1,8,0,0,7,1,0,0.07059342632591724,0.9803000092506409
1,32,1,1,5,0,1,8,0,1,2,1,1,32,1,1,5,2,2,0.10741803505271673,0.9671000242233276
1,64,1,1,0,1,1,8,1,1,8,0,1,16,1,0,2,0,2,0.135166965508461,0.9588000178337097
1,64,1,1,10,1,1,16,1,0,5,1,1,32,1,1,10,1,0,0.7349226942062378,0.7634000182151794
1,8,1,1,0,0,1,8,0,1,8,0,1,16,0,1,1,0,3,0.06704884075243026,0.9789999723434448
1,8,0,0,2,0,0,16,0,0,1,1,0,32,0,0,5,0,3,0.08870909089837223,0.972000002861023
1,16,1,1,0,1,1,8,1,1,8,0,1,16,0,0,1,0,3,0.07940944911576807,0.9749000072479248
1,8,0,0,2,0,0,16,0,0,1,1,0,32,0,0,2,2,2,0.1132399112045765,0.9668999910354614
1,8,1,1,0,0,0,8,0,1,2,1,1,64,1,1,10,1,0,0.14992130685503652,0.9648000001907349
1,64,1,0,8,0,1,8,0,1,7,1,0,64,1,0,2,0,2,0.10934416235089302,0.979200005531311
1,8,0,0,2,1,0,16,0,0,1,1,0,32,0,0,5,0,0,0.08488069614619016,0.9728999733924866
1,64,1,0,5,2,1,16,0,0,8,2,1,8,0,0,10,1,0,0.08337790457904339,0.9829999804496765
1,32,1,1,5,0,1,8,0,1,7,1,0,64,1,0,2,0,2,0.29147315735816953,0.9307000041007996
1,8,0,1,5,0,1,8,1,0,7,1,1,8,1,0,2,0,2,0.32785776668787003,0.910099983215332
1,8,0,0,7,0,1,8,0,1,8,2,1,8,0,0,7,2,0,0.0627915484474972,0.9793999791145325
1,16,0,0,2,0,0,16,0,0,1,1,0,32,0,0,2,2,0,0.06660735809653998,0.9786999821662903
1,64,1,0,5,2,0,16,1,0,7,1,0,64,1,0,2,0,2,0.07601313435335177,0.9789000153541565
1,8,0,1,5,2,0,16,1,0,5,1,1,32,1,1,5,1,3,0.4118321262001991,0.8727999925613403
1,8,0,1,0,0,0,16,0,1,8,2,1,8,0,0,7,1,0,0.20151080933213233,0.9532999992370605
