Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Optimizer,Val Loss,Val Accuracy
1,64,1,1,9,0,1,8,0,0,10,1,1,8,1,1,1,1,2,0.3494413182735443,0.9262999892234802
1,16,1,1,8,2,0,64,0,1,6,2,1,64,1,0,4,2,3,0.048863453865097835,0.9836999773979187
1,64,0,1,1,2,1,16,0,0,8,0,0,16,0,0,2,2,2,0.3308775488734245,0.9042999744415283
1,32,1,1,8,2,0,32,0,1,9,1,1,32,1,1,8,0,3,0.16204533360232154,0.9684000015258789
1,8,1,0,3,0,0,64,0,1,10,1,0,32,0,1,0,1,2,0.09603673353046178,0.9717000126838684
1,8,1,0,8,2,0,64,1,0,1,0,1,8,0,1,0,2,2,0.12883081444948913,0.9629999995231628
1,32,0,1,8,0,1,32,1,1,4,0,0,8,1,0,4,2,2,0.34146667651236057,0.9031999707221985
1,16,1,1,0,0,1,64,1,0,2,2,0,8,0,1,9,2,3,0.06124867249566596,0.982200026512146
1,32,0,0,3,2,0,32,1,1,7,2,0,32,1,1,4,1,1,0.07572307935790158,0.9771999716758728
1,16,1,0,10,1,1,32,0,1,3,0,0,16,0,1,4,1,0,0.11417014669179916,0.9643999934196472
1,8,0,0,5,0,0,16,0,0,10,2,1,8,0,1,7,0,0,0.08400553012825548,0.9742000102996826
1,32,0,0,7,0,1,32,0,1,5,0,1,8,0,0,7,2,0,0.06232552457982674,0.9805999994277954
1,32,1,0,3,2,1,8,1,0,1,0,1,16,0,1,6,0,3,0.04670932789733633,0.9847999811172485
1,16,0,1,8,0,0,32,0,0,9,0,0,16,1,1,9,0,3,0.35629574275016784,0.8903999924659729
